symptom,disease
Walking difficulties,"Spastic paraplegia 18, autosomal recessive"
Spasticity in legs,"Spastic paraplegia 18, autosomal recessive"
Muscle weakness in legs,"Spastic paraplegia 18, autosomal recessive"
Squint,"Spastic paraplegia 18, autosomal recessive"
Nephritis,"Progressive nephropathy with hypertension, autosomal dominant"
Protein in urine,"Progressive nephropathy with hypertension, autosomal dominant"
Increased blood pressure,"Progressive nephropathy with hypertension, autosomal dominant"
Blood in urine,"Progressive nephropathy with hypertension, autosomal dominant"
Increased urination,"Progressive nephropathy with hypertension, autosomal dominant"
Premature membrane rupture during pregnancy,"Chromosome 16, uniparental disomy"
Low birth weight,"Chromosome 16, uniparental disomy"
Stillbirth,"Chromosome 16, uniparental disomy"
Retarded fetal growth,"Chromosome 16, uniparental disomy"
Enophthalmos,Nanophthalmos 2
Small corneas,Nanophthalmos 2
Extreme far sightedness,Nanophthalmos 2
Small eye globe,Nanophthalmos 2
Narrow eye slits,Nanophthalmos 2
Normal pressure hydrocephalus,"Tremor, hereditary essential, and idiopathic normal pressure hydrocpehalus"
Enlarged brain ventricles,"Tremor, hereditary essential, and idiopathic normal pressure hydrocpehalus"
Progressively impaired gait due to hydrocephalus,"Tremor, hereditary essential, and idiopathic normal pressure hydrocpehalus"
Essential tremor,"Tremor, hereditary essential, and idiopathic normal pressure hydrocpehalus"
Increased head size,"Tremor, hereditary essential, and idiopathic normal pressure hydrocpehalus"
Clubbed digits,"Pulmonary nodular lymphoid hyperplasia, familial"
Chronic low blood oxygenation,"Pulmonary nodular lymphoid hyperplasia, familial"
Increased immunoglobulin level,"Pulmonary nodular lymphoid hyperplasia, familial"
Iga nephropathy,"Pulmonary nodular lymphoid hyperplasia, familial"
Exercise intolerance,"Pulmonary nodular lymphoid hyperplasia, familial"
Emotional disturbances,Anton-vogt syndrome
"Purposeless, slow, involuntary movements",Anton-vogt syndrome
Mental impairment,Anton-vogt syndrome
Dysarthria,Anton-vogt syndrome
Convulsions,Anton-vogt syndrome
Weak leg muscles,"Spastic paraplegia type 5b, recessive"
Walking difficulties,"Spastic paraplegia type 5b, recessive"
Increased leg reflexes,"Spastic paraplegia type 5b, recessive"
Stiff leg muscles,"Spastic paraplegia type 5b, recessive"
Mental retardation,"Spastic paraplegia type 5b, recessive"
Rough skin over swollen areas,Meige's lymphedema
Pigmented skin over swollen areas,Meige's lymphedema
Persistent pleural effusion,Meige's lymphedema
Ankle edema,Meige's lymphedema
Knee edema,Meige's lymphedema
Leg edema,Meige's lymphedema
Hyperopia,"Cornea plana, congenital"
Thin corneas,"Cornea plana, congenital"
Reduced visual acuity,"Cornea plana, congenital"
Impaired vision,"Cornea plana, congenital"
Unusually flattened cornea,"Cornea plana, congenital"
Lower abdominal pain,Double uterus-hemivagina-renal agenesis
Pelvic mass,Double uterus-hemivagina-renal agenesis
Dysmenorrhea,Double uterus-hemivagina-renal agenesis
Kidney problems,Double uterus-hemivagina-renal agenesis
Vaginal discharge,Double uterus-hemivagina-renal agenesis
Pulmonary insufficiency,Pulmonary valves agenesis
Breathing difficulties,Pulmonary valves agenesis
Bronchial obstruction,Pulmonary valves agenesis
Reduced exercise tolerance,Pulmonary valves agenesis
Heart failure,Pulmonary valves agenesis
Malabsorption,"Diarrhea 2, with microvillous atrophy"
Diarrhea,"Diarrhea 2, with microvillous atrophy"
Failure to thrive,"Diarrhea 2, with microvillous atrophy"
Malnutrition,"Diarrhea 2, with microvillous atrophy"
Problems with balance,"Usher syndrome, type iiia"
Night blindness - onset during puberty,"Usher syndrome, type iiia"
Hearing loss onset by teenage years,"Usher syndrome, type iiia"
Impaired balance,"Usher syndrome, type iiia"
Deafness by late adulthood,"Usher syndrome, type iiia"
Blindness by mid-adulthood,"Usher syndrome, type iiia"
Problems with balance,"Usher syndrome, type iiib"
Night blindness - onset during puberty,"Usher syndrome, type iiib"
Hearing loss onset by teenage years,"Usher syndrome, type iiib"
Impaired balance,"Usher syndrome, type iiib"
Deafness by late adulthood,"Usher syndrome, type iiib"
Blindness by mid-adulthood,"Usher syndrome, type iiib"
Cleft palate,Waardenburg type pierpont
Different colored eyes,Waardenburg type pierpont
Impaired hearing,Waardenburg type pierpont
Nose anomalies,Waardenburg type pierpont
White lock of hair,Waardenburg type pierpont
Cleft lips,Waardenburg type pierpont
Ventricular septal defects,"Right pulmonary artery, anomalous origin of, familial"
Anomalous origin of right pulmonary artery,"Right pulmonary artery, anomalous origin of, familial"
Patent ductus arteriosus,"Right pulmonary artery, anomalous origin of, familial"
Atrial septal defects,"Right pulmonary artery, anomalous origin of, familial"
Patent foramen ovale,"Right pulmonary artery, anomalous origin of, familial"
Aortic coarctation,"Right pulmonary artery, anomalous origin of, familial"
Sore throat,Vanadium toxicity
Rhinitis,Vanadium toxicity
Conjunctivitis,Vanadium toxicity
Cough,Vanadium toxicity
Chest pain,Vanadium toxicity
Shortness of breath or wheezing,Vanadium toxicity
Fluid seeping from wound,Perichondritis
Painful ear,Perichondritis
Ear swelling,Perichondritis
Fever,Perichondritis
Red ears,Perichondritis
Vaginal lesions,Vulvar diseases
Vaginal bleeding,Vulvar diseases
Vulvar dystrophy,Vulvar diseases
Vaginal itching,Vulvar diseases
Vaginal redness,Vulvar diseases
Vaginal pain,Vulvar diseases
Strabismus,Ocular albinism
Impaired visual depth perception,Ocular albinism
Wide set eyes,Ocular albinism
Impaired visual acuity,Ocular albinism
Nystagmus,Ocular albinism
Generalized tonic-clonic seizures,Familial febrile convulsions
Normal psychomotor development,Familial febrile convulsions
Hypotonic seizures,Familial febrile convulsions
Hypertonic seizures,Familial febrile convulsions
Seizures associated with fever,Familial febrile convulsions
Generalized tonic-clonic seizures,"Familial febrile convulsions, 1"
Normal psychomotor development,"Familial febrile convulsions, 1"
Hypotonic seizures,"Familial febrile convulsions, 1"
Hypertonic seizures,"Familial febrile convulsions, 1"
Seizures associated with fever,"Familial febrile convulsions, 1"
Short statures,Del (2) (q36-qter)
Downslanted eye slits,Del (2) (q36-qter)
Small head,Del (2) (q36-qter)
Cleft palate,Del (2) (q36-qter)
Weak face muscles,Del (2) (q36-qter)
Webbing of toes,Del (2) (q36-qter)
,Florid cystic endosalpingiosis of the uterus
Uterine cyst,Florid cystic endosalpingiosis of the uterus
Abdominal discomfort,Florid cystic endosalpingiosis of the uterus
Irregular menstrual cycles,Florid cystic endosalpingiosis of the uterus
Abdominal mass,Florid cystic endosalpingiosis of the uterus
Delayed milestones,"Early-onset non-progressive cerebellar ataxia syndrome, dominantly inherited"
Mild cerebellar ataxia,"Early-onset non-progressive cerebellar ataxia syndrome, dominantly inherited"
Floppy infants,"Early-onset non-progressive cerebellar ataxia syndrome, dominantly inherited"
Brisk tendon reflexes,"Early-onset non-progressive cerebellar ataxia syndrome, dominantly inherited"
Cerebellum anomaly,"Early-onset non-progressive cerebellar ataxia syndrome, dominantly inherited"
Incoordination,"Early-onset non-progressive cerebellar ataxia syndrome, dominantly inherited"
Anxiety,Misanthropy
Trembling,Misanthropy
Feeling of panic,Misanthropy
Feeling of terror,Misanthropy
Extreme avoidance measures taken,Misanthropy
Shortness of breath,Misanthropy
Abnormal heart rhythm,Sino-auricular heart block
Lightheadedness,Sino-auricular heart block
Fainting,Sino-auricular heart block
Palpitations,Sino-auricular heart block
Orthopedic problems,Cerebellar ataxia syndrome
Speaking difficulty,Cerebellar ataxia syndrome
Rapid involuntary eye movements,Cerebellar ataxia syndrome
Impaired mental abilities,Cerebellar ataxia syndrome
Impaired ability to control voluntary movements,Cerebellar ataxia syndrome
Posterior subcapsular cataracts,Simell-takki syndrome
Blindness,Simell-takki syndrome
Increased ornithine levels,Simell-takki syndrome
Progressive vision loss,Simell-takki syndrome
Muscle fiber abnormalities (type ii),Simell-takki syndrome
Reduced ornithine aminotransferase level,Simell-takki syndrome
Hirschsprung's disease,Del (3) (q13-q22)
Joint contractures,Del (3) (q13-q22)
Retinoblastoma,Del (3) (q13-q22)
Minor anomalies,Del (3) (q13-q22)
Developmental delay,Del (3) (q13-q22)
Inguinal hernias,Del (3) (q21.3-q22.3)
Undescended testicles,Del (3) (q21.3-q22.3)
Epicanthus inversus,Del (3) (q21.3-q22.3)
Blepharophimosis,Del (3) (q21.3-q22.3)
Droopy eyelids,Del (3) (q21.3-q22.3)
Small head,Del (3) (q22.2-q23)
Epicanthis inversus,Del (3) (q22.2-q23)
Mental retardation,Del (3) (q22.2-q23)
Blepharophimosis,Del (3) (q22.2-q23)
Droopy eyelids,Del (3) (q22.2-q23)
Dry skin,Ichthyosis prematurity syndrome
Rough skin,Ichthyosis prematurity syndrome
Thick peeling skin at birth,Ichthyosis prematurity syndrome
Persistent eosinophilia,Ichthyosis prematurity syndrome
Premature birth,Ichthyosis prematurity syndrome
Scaly skin,Ichthyosis prematurity syndrome
Gout,Juvenile gout
Kidney failure,Juvenile gout
High blood uric acid level,Juvenile gout
Gouty arthritis,Juvenile gout
Cleft palate,"Cleft palate, midfacial hypoplasia, triangular facies, and sensorineural hearing loss"
Underdeveloped midface,"Cleft palate, midfacial hypoplasia, triangular facies, and sensorineural hearing loss"
Sensorineural hearing impairment,"Cleft palate, midfacial hypoplasia, triangular facies, and sensorineural hearing loss"
Malocclusion,"Cleft palate, midfacial hypoplasia, triangular facies, and sensorineural hearing loss"
Triangular face,"Cleft palate, midfacial hypoplasia, triangular facies, and sensorineural hearing loss"
Skin cancer,"Basal cell carcinomas with milia and coarse, sparse hair"
Numerous milia - on face and limbs,"Basal cell carcinomas with milia and coarse, sparse hair"
Coarse sparse scalp hair,"Basal cell carcinomas with milia and coarse, sparse hair"
Coarse sparse body hair,"Basal cell carcinomas with milia and coarse, sparse hair"
Increased sweating,"Basal cell carcinomas with milia and coarse, sparse hair"
Psychomotor retardation,Chromosome 4p15 deletion syndrome
Normal growth,Chromosome 4p15 deletion syndrome
Distinctive facial characteristics,Chromosome 4p15 deletion syndrome
Minor congenital anomalies,Chromosome 4p15 deletion syndrome
Recurrent infections,Zap70 deficiency
Splenomegaly,Zap70 deficiency
Diarrhoea,Zap70 deficiency
Failure to thrive,Zap70 deficiency
Fever,Zap70 deficiency
Reduced muscle tone,Cerebellar ataxia -- intellectual deficit -- optic atrophy -- skin abnormalities
Speaking difficulty,Cerebellar ataxia -- intellectual deficit -- optic atrophy -- skin abnormalities
Mental retardation,Cerebellar ataxia -- intellectual deficit -- optic atrophy -- skin abnormalities
Ataxia,Cerebellar ataxia -- intellectual deficit -- optic atrophy -- skin abnormalities
Developmental delay,Cerebellar ataxia -- intellectual deficit -- optic atrophy -- skin abnormalities
Brain atrophy,Cerebellar ataxia -- intellectual deficit -- optic atrophy -- skin abnormalities
Hyperplastic changes in bone marrow,Myelokathexis syndrome
Recurring infections,Myelokathexis syndrome
Neutropenia,Myelokathexis syndrome
Abnormal neutrophils,Myelokathexis syndrome
Reduced esophageal motility,Reynolds syndrome
Telangiectasis,Reynolds syndrome
Calcinosis cutis,Reynolds syndrome
Hardened skin,Reynolds syndrome
Liver cirrhosis,Reynolds syndrome
Raynaud's phenomenon,Reynolds syndrome
Fluid leakage into cornea,Corneal endothelial dystrophy type 1
Bluish cornea,Corneal endothelial dystrophy type 1
Corneal swelling,Corneal endothelial dystrophy type 1
Impaired vision,Corneal endothelial dystrophy type 1
Destruction of the inner corneal layer,Corneal endothelial dystrophy type 1
Nausea,Heat syndrome
Muscle cramps,Heat syndrome
Muscle aching,Heat syndrome
Light headedness,Heat syndrome
Headaches,Heat syndrome
Faintness,Heat syndrome
Single pitched voice,Flaccid dysarthria
Short phrases,Flaccid dysarthria
Nasal voice,Flaccid dysarthria
Breathy voice,Flaccid dysarthria
Harsh voice quality,Flaccid dysarthria
Audible breathing,Flaccid dysarthria
Generalized tonic-clonic seizures,"Familial febrile convulsions, 2"
Normal psychomotor development,"Familial febrile convulsions, 2"
Hypotonic seizures,"Familial febrile convulsions, 2"
Hypertonic seizures,"Familial febrile convulsions, 2"
Seizures associated with fever,"Familial febrile convulsions, 2"
Absence of middle fingers,Ectrodactyly
Presence of single finger on hand,Ectrodactyly
Presence of single toe on foot,Ectrodactyly
Absence of middle toes,Ectrodactyly
Lobster claw hands,Ectrodactyly
Limb deficiency malformations,Peromelia
Absent hands,Peromelia
Absent feet,Peromelia
Malformed hands,Peromelia
Malformed feet,Peromelia
Extra little fingers,Scalp defects -- postaxial polydactyly
Encephalocele,Scalp defects -- postaxial polydactyly
Scalp defects,Scalp defects -- postaxial polydactyly
Extra little toes,Scalp defects -- postaxial polydactyly
Sparse scalp hair,Scalp defects -- postaxial polydactyly
Chest pain,Bergman syndrome
Hiccups,Bergman syndrome
Swallowing difficulties,Bergman syndrome
Chest discomfort,Bergman syndrome
Long groove in upper lip,Omodysplasia -- dominant type
Short upper arm bones,Omodysplasia -- dominant type
Depressed nose bridge,Omodysplasia -- dominant type
Dislocated forearm bone,Omodysplasia -- dominant type
Dislocated head of radius,Omodysplasia -- dominant type
Broad nose root,Omodysplasia -- dominant type
Other minor anomalies,Del (2) (q32-q33)
Wrinkly skin,Del (2) (q32-q33)
Mental retardation,Del (2) (q32-q33)
Ataxia,Del (2) (q32-q33)
High nose bridge,Prognathism dominant
Thick lower lip,Prognathism dominant
Protruding jaw,Prognathism dominant
Malocclusion,Prognathism dominant
Everted lower eyelids,Prognathism dominant
Flat cheek bones,Prognathism dominant
Patent ductus arteriosus,Del (3) (pter-p25) and dup (2) (pter-p25.3)
Atrial septal defects,Del (3) (pter-p25) and dup (2) (pter-p25.3)
Preauricular pits,Del (3) (pter-p25) and dup (2) (pter-p25.3)
Droopy eyelids,Del (3) (pter-p25) and dup (2) (pter-p25.3)
Other congenital anomalies,Del (3) (pter-p25) and dup (17) (q23-qter)
Extra fingers,Del (3) (pter-p25) and dup (17) (q23-qter)
Extra toes,Del (3) (pter-p25) and dup (17) (q23-qter)
Developmental delay,Del (3) (pter-p25) and dup (17) (q23-qter)
Leiomyoma,"Leiomyomatosis, esophagogastric and vulvar"
Large clitoris,"Leiomyomatosis, esophagogastric and vulvar"
Vaginal tumor,"Leiomyomatosis, esophagogastric and vulvar"
Esophogastric tumor,"Leiomyomatosis, esophagogastric and vulvar"
Swallowing difficulties,"Leiomyomatosis, esophagogastric and vulvar"
Abnormal urinary tract function,Renal caliceal diverticuli -- deafness
Dilated ureters,Renal caliceal diverticuli -- deafness
Ureter abnormalities,Renal caliceal diverticuli -- deafness
Abnormal kidney function,Renal caliceal diverticuli -- deafness
Deafness,Renal caliceal diverticuli -- deafness
Difficulty walking on toes,Delta-sarcoglycanopathy
Weak pelvic muscles,Delta-sarcoglycanopathy
Winged shoulder blades,Delta-sarcoglycanopathy
Enlarged calf muscles,Delta-sarcoglycanopathy
Contractures,Delta-sarcoglycanopathy
Weak shoulder muscles,Delta-sarcoglycanopathy
Ichthyosis,Rayner-lampert-rennert syndrome
Kidney disease,Rayner-lampert-rennert syndrome
Dwarfism,Rayner-lampert-rennert syndrome
Mental retardation,Rayner-lampert-rennert syndrome
Sensation of flashing light,Serpiginous choroiditis
White spots in fundus of the eye,Serpiginous choroiditis
Sudden decrease in vision,Serpiginous choroiditis
Blind spots in visual field,Serpiginous choroiditis
Tachypnoea,Vascular malposition
Tachycardia,Vascular malposition
Cyanosis,Vascular malposition
Shortness of breath,Vascular malposition
Spasticity,Segawa syndrome
Dystonia,Segawa syndrome
Movement disorders,Segawa syndrome
Walking problems,Segawa syndrome
Increased serum ammonia after exercise,Phosphoglucomutase deficiency type 1
Rhabdomyolysis,Phosphoglucomutase deficiency type 1
Muscle cramps,Phosphoglucomutase deficiency type 1
Increased creatine kinase level,Phosphoglucomutase deficiency type 1
Increased free glycogen in muscle tissue,Phosphoglucomutase deficiency type 1
Wide fontanels,Cranio osteoarthropathy
Joint swelling,Cranio osteoarthropathy
Joint pain,Cranio osteoarthropathy
Finger clubbing,Cranio osteoarthropathy
Stiff joints,Cranio osteoarthropathy
Impaired joint mobility,Cranio osteoarthropathy
Small head,"Pyruvate kinase deficiency, liver type"
Low pyruvate kinase level,"Pyruvate kinase deficiency, liver type"
Rounded forehead,"Pyruvate kinase deficiency, liver type"
Jaundice,"Pyruvate kinase deficiency, liver type"
Hemolytic anemia,"Pyruvate kinase deficiency, liver type"
Prominent forehead,"Pyruvate kinase deficiency, liver type"
Chin turned to opposite side of head tilt,"Torticollis, familial"
Tilted head,"Torticollis, familial"
Limited neck movement,"Torticollis, familial"
Physiotherapy or surgery,"Torticollis, familial"
Elevated chin,"Torticollis, familial"
Night blindness,Retinoschisis with early hemeralopia
Hemeralopia,Retinoschisis with early hemeralopia
Retinoschisis,Retinoschisis with early hemeralopia
Macular edema,Retinoschisis with early hemeralopia
Reduced visual acuity,Retinoschisis with early hemeralopia
Wooly hair,"Woolly hair, congenital"
Curled hair,"Woolly hair, congenital"
Short hair,"Woolly hair, congenital"
Woolly hair,"Woolly hair, congenital"
Frizzy hair,"Woolly hair, congenital"
Labial swelling,Allergic seminal vulvovaginitis
Labial redness,Allergic seminal vulvovaginitis
Labial blisters,Allergic seminal vulvovaginitis
Vaginal inflammation,Allergic seminal vulvovaginitis
Vaginal burning,Allergic seminal vulvovaginitis
Vaginal pain,Allergic seminal vulvovaginitis
Small head,Microcephaly -- sparse hair -- mental retardation -- seizures
Sparse scalp hair,Microcephaly -- sparse hair -- mental retardation -- seizures
Sparse eyebrows,Microcephaly -- sparse hair -- mental retardation -- seizures
Mental retardation,Microcephaly -- sparse hair -- mental retardation -- seizures
Seizures,Microcephaly -- sparse hair -- mental retardation -- seizures
Liver inflammation,Herbal agent overdose -- psoralea corylifolia
Jaundice,Herbal agent overdose -- psoralea corylifolia
Light sensitive skin,Herbal agent overdose -- psoralea corylifolia
Increased transaminase level,Herbal agent overdose -- psoralea corylifolia
Bone pain,Herbal agent overdose -- reishi mushroom
Dizziness,Herbal agent overdose -- reishi mushroom
Itchy skin,Herbal agent overdose -- reishi mushroom
Diarrhea,Herbal agent overdose -- reishi mushroom
Skin irritation,Herbal agent overdose -- reishi mushroom
Itchy skin,"Peeling skin syndrome, acral type"
Red skin on hands,"Peeling skin syndrome, acral type"
Red skin on feet,"Peeling skin syndrome, acral type"
Red skin,"Peeling skin syndrome, acral type"
Peeling skin on hands,"Peeling skin syndrome, acral type"
Peeling skin on feet,"Peeling skin syndrome, acral type"
13 pairs of ribs,"Unusual facies, skeletal abnormalities, communicating hydrocephalus"
Widened metaphyses,"Unusual facies, skeletal abnormalities, communicating hydrocephalus"
Square shaped vertebral bodies,"Unusual facies, skeletal abnormalities, communicating hydrocephalus"
Communicating hydrocephalus,"Unusual facies, skeletal abnormalities, communicating hydrocephalus"
Weak face muscles,"Unusual facies, skeletal abnormalities, communicating hydrocephalus"
Abdominal defect,"Asternia with cardiac, diaphragmatic, and abdominal defects"
Absent sternum,"Asternia with cardiac, diaphragmatic, and abdominal defects"
Heart defect,"Asternia with cardiac, diaphragmatic, and abdominal defects"
Diaphragmatic defect,"Asternia with cardiac, diaphragmatic, and abdominal defects"
Forearm abnormalities,"Pterygium syndrome, antecubital"
Webbed joints,"Pterygium syndrome, antecubital"
Limited elbow expansion,"Pterygium syndrome, antecubital"
Elbow webbing,"Pterygium syndrome, antecubital"
Atherosclerosis,Familial hypertriglyceridemia
Increased very low density lipoproteins,Familial hypertriglyceridemia
Increased triglycerides,Familial hypertriglyceridemia
Abnormal glucose tolerance,Familial hypertriglyceridemia
Breathing difficulties,Pulmonary veins stenosis
Coughing up blood,Pulmonary veins stenosis
Failure to thrive,Pulmonary veins stenosis
Rapid breathing,Pulmonary veins stenosis
Congestive heart failure,Pulmonary veins stenosis
Bowed long bones,"Bowing of long bones, asymmetrical and symmetrical"
Large head,"Bowing of long bones, asymmetrical and symmetrical"
Wide set eyes,"Bowing of long bones, asymmetrical and symmetrical"
Vertebral anomalies,"Bowing of long bones, asymmetrical and symmetrical"
Beaten metal skull appearance,"Bowing of long bones, asymmetrical and symmetrical"
"Long, narrow skull","Bowing of long bones, asymmetrical and symmetrical"
Painful shoulder movement,Subacromial bursitis
Shoulder weakness,Subacromial bursitis
Shoulder stiffness,Subacromial bursitis
Shoulder pain,Subacromial bursitis
Night blindness,Lord
Progressive loss of peripheral vision,Lord
Progressive loss of central vision,Lord
Chorioretinal atrophy,Lord
High urine calcium level,"Hypercalciuria, childhood idiopathic"
Enuresis,"Hypercalciuria, childhood idiopathic"
Urinary tract stone formation,"Hypercalciuria, childhood idiopathic"
Blood in urine,"Hypercalciuria, childhood idiopathic"
Urinary tract infections,"Hypercalciuria, childhood idiopathic"
Tumor mass in conjunctival area,Ring dermoid of cornea
Bilateral amblyopia,Ring dermoid of cornea
Dermoid choristoma,Ring dermoid of cornea
Conjunctival plaque,Ring dermoid of cornea
Crossed eyes,Ring dermoid of cornea
Astigmatism,Ring dermoid of cornea
Malabsorption,Dupont-sellier-chochillon syndrome
Pancreatic hormone abnormalities,Dupont-sellier-chochillon syndrome
Diarrhea,Dupont-sellier-chochillon syndrome
Narrowed duodenum,Dupont-sellier-chochillon syndrome
Excess amniotic fluid,Dupont-sellier-chochillon syndrome
Pancreatic dysfunction,Dupont-sellier-chochillon syndrome
Mental retardation,Reardon-wilson-cavanagh syndrome
Ataxia,Reardon-wilson-cavanagh syndrome
Deafness,Reardon-wilson-cavanagh syndrome
Sensorineural hearing loss,Reardon-wilson-cavanagh syndrome
Developmental delay,Reardon-wilson-cavanagh syndrome
Missing bones in little finger,Oligodactyly -- tetramelic postaxial
Missing little finger,Oligodactyly -- tetramelic postaxial
Missing bones in little toe,Oligodactyly -- tetramelic postaxial
Missing little toe,Oligodactyly -- tetramelic postaxial
Monocytopenia,Neutropenia -- monocytopenia -- deafness
Sensorineural deafness,Neutropenia -- monocytopenia -- deafness
Recurring infections,Neutropenia -- monocytopenia -- deafness
Neutropenia,Neutropenia -- monocytopenia -- deafness
Leukopenia,Heavy-chain diseases
Enlarged liver,Heavy-chain diseases
Enlarge lymph nodes,Heavy-chain diseases
Thrombocytopenia,Heavy-chain diseases
Fever,Heavy-chain diseases
Myopia,Heckenlively syndrome
Abnormal amino acid metabolism,Heckenlively syndrome
Behavioral disorders,Heckenlively syndrome
Cataract,Heckenlively syndrome
Autism,Heckenlively syndrome
Winged shoulder blades,"Spinal muscular atrophy, scapuloperoneal"
Foot drop,"Spinal muscular atrophy, scapuloperoneal"
Progressive shoulder muscle weakness,"Spinal muscular atrophy, scapuloperoneal"
Progressive shoulder muscle wasting,"Spinal muscular atrophy, scapuloperoneal"
Progressive lower leg muscle weakness,"Spinal muscular atrophy, scapuloperoneal"
Progressive lower leg muscle wasting,"Spinal muscular atrophy, scapuloperoneal"
Absence of menstruation,Ovarian insufficiency due to fsh resistance
Hot flushes,Ovarian insufficiency due to fsh resistance
Irregular menstrual cycles,Ovarian insufficiency due to fsh resistance
Infertility,Ovarian insufficiency due to fsh resistance
Easy bruising,Immune thrombocytopenia
Purpura,Immune thrombocytopenia
Bleeding from gums,Immune thrombocytopenia
Nose bleed,Immune thrombocytopenia
Petechiae,Immune thrombocytopenia
Hemorrhages,Immune thrombocytopenia
Dyspareunia,Autoimmune endometriosis
Infertility,Autoimmune endometriosis
Pelvic pain,Autoimmune endometriosis
Dysmenorrhoea,Autoimmune endometriosis
Loss of appetite,Bouillaud's syndrome
Cough,Bouillaud's syndrome
Breathing difficulties,Bouillaud's syndrome
Chest pain,Bouillaud's syndrome
Chronic joint pain,Bouillaud's syndrome
Some teeth missing,Leukomelanoderma -- infantalism -- mental retardation -- hypodontia -- hypotrichosis
Generalized melanoleukoderma,Leukomelanoderma -- infantalism -- mental retardation -- hypodontia -- hypotrichosis
Reduced hair,Leukomelanoderma -- infantalism -- mental retardation -- hypodontia -- hypotrichosis
Mental retardation,Leukomelanoderma -- infantalism -- mental retardation -- hypodontia -- hypotrichosis
Retarded growth,Leukomelanoderma -- infantalism -- mental retardation -- hypodontia -- hypotrichosis
Facial anomalies,"Chromosome 6, monosomy 6q1"
Mental retardation,"Chromosome 6, monosomy 6q1"
Short neck,"Chromosome 6, monosomy 6q1"
Retarded growth,"Chromosome 6, monosomy 6q1"
Sun spots on back of hands,Sun spots
Sun spots on arms,Sun spots
Sun spots on top of ears,Sun spots
Sun spots,Sun spots
Small raised warts,Sun spots
Adrenal dysfunction,Neonatal ald
Muscle hypotonia,Neonatal ald
Hepatomegaly (enlarged liver),Neonatal ald
Facial anomalies,Neonatal ald
Mental retardation,Neonatal ald
Seizures,Neonatal ald
Visual hallucination occurring just as a person is falling asleep,Hypnagogic hallucinations
Tactile hallucination occurring just as a person is falling asleep,Hypnagogic hallucinations
Auditory hallucination occurring just as a person is falling asleep,Hypnagogic hallucinations
Sensory hallucination occurring just as a person is falling asleep,Hypnagogic hallucinations
Normal pressure hydrocephalus,"Tremor, hereditary essential, and idiopathic normal pressure hydrocephalus"
Large head,"Tremor, hereditary essential, and idiopathic normal pressure hydrocephalus"
Enlarged brain ventricles,"Tremor, hereditary essential, and idiopathic normal pressure hydrocephalus"
Essential tremor,"Tremor, hereditary essential, and idiopathic normal pressure hydrocephalus"
Impaired gait,"Tremor, hereditary essential, and idiopathic normal pressure hydrocephalus"
Short statures,Sparse hair -- short stature -- skin anomalies
Sparse hair,Sparse hair -- short stature -- skin anomalies
Upper central incisor,Sparse hair -- short stature -- skin anomalies
Urticaria,Sparse hair -- short stature -- skin anomalies
Underdeveloped thumbs,Sparse hair -- short stature -- skin anomalies
Missing limb or portion of limb,Mirror polydactyly -- vertebral segmentation -- limbs defects
Duodenal atresia,Mirror polydactyly -- vertebral segmentation -- limbs defects
Excessive vertebral segmentation,Mirror polydactyly -- vertebral segmentation -- limbs defects
Extra toes,Mirror polydactyly -- vertebral segmentation -- limbs defects
Malformed limbs,Mirror polydactyly -- vertebral segmentation -- limbs defects
Absent thymus,Mirror polydactyly -- vertebral segmentation -- limbs defects
Genital anomalies,Richieri-costa-orquizas syndrome
Ectrodactyly,Richieri-costa-orquizas syndrome
Cleft palate,Richieri-costa-orquizas syndrome
Heart defect,Richieri-costa-orquizas syndrome
Retarded growth,Richieri-costa-orquizas syndrome
Spinal curvature,Spinal curvature
Symptoms of scoliosis,Spinal curvature
Symptoms of kyphosis,Spinal curvature
Symptoms of lordosis,Spinal curvature
Abnormal curvature of the spine,Spinal curvature
Fainting,Familial ventricular tachycardia
Light headedness,Familial ventricular tachycardia
Palpitations,Familial ventricular tachycardia
Shortness of breath,Familial ventricular tachycardia
Absence of photopic flicker,Achromatopsia 4
Undulatory nystagmus,Achromatopsia 4
Head posture against strong light,Achromatopsia 4
Abnormal green-red color vision,Achromatopsia 4
Absent fallopian tubes,Rokitansky sequence
Absent cervix,Rokitansky sequence
Absent upper vagina,Rokitansky sequence
Absence of uterus,Rokitansky sequence
Firm skin lesions,Idiopathic calcinosis cutis
Whitish/yellowish skin lesions,Idiopathic calcinosis cutis
Light colored nodules,Idiopathic calcinosis cutis
Light colored plaques,Idiopathic calcinosis cutis
Light colored papules,Idiopathic calcinosis cutis
Variable absence of the fourth and fifth fingers,Ulnar ray deficiency
Variable absence of hand bones associated with the ulna,Ulnar ray deficiency
Absence of varying portions of the ulna,Ulnar ray deficiency
Deviated hand position,Ulnar ray deficiency
Early teeth eruption,Lopes-marques de faria syndrome
Decreased hear,Lopes-marques de faria syndrome
Webbed fingers,Lopes-marques de faria syndrome
Mental retardation,Lopes-marques de faria syndrome
Eye discharge,Conjunctivitis with pseudomembrane
Irritated eyes,Conjunctivitis with pseudomembrane
Red eyes,Conjunctivitis with pseudomembrane
Itchy eyes,Conjunctivitis with pseudomembrane
Tearing eyes,Conjunctivitis with pseudomembrane
Yellowish spots on retina,Snowflake vitreoretinal degeneration
Whitish spots on retina,Snowflake vitreoretinal degeneration
